Seed No. per image,Class,Area-SAM(mm2),Length-SAM(mm),Width-SAM(mm),Perimeter-SAM(mm),Area-SAM_taubin(mm2),Length-SAM_taubin(mm),Width-SAM_taubin(mm),Perimeter-SAM_taubin(mm),Area-SAM_minEnc(mm2),Length-SAM_minEnc(mm),Width-SAM_minEnc(mm),Perimeter-SAM_minEnc(mm),centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,Area-SAM(pix),Eccentricity,Equivalent diameter area,Perimeter(pix),solidity,area_convex,extent,Axis Major Length-SAM(pix),Axis Minor Length-SAM(pix),Aspect Ratio,Roundness,Compactness,Circularity-SAM,Shape,Shapefactor1,Shapefactor2,Shapefactor3,Shapefactor4,RGB value of Seed,color_seeds,TGW(g)
6,Faba-Seed-CC_Vf628-1-1,96.24915114452492,12.646924808150796,9.707847613063668,35.190044293406274,96.49924492394814,13.039190244616757,9.441061251656322,37.37421600334108,90.03069931229084,12.59458831312094,9.119146010823812,36.09985399837781,4443.398458089132,2365.708865987492,4307,2241,4589,2491,50846.0,0.6897446258131946,254.4388686730156,857.9036790187178,0.9942121935004498,51142.0,0.7212198581560284,299.30712877780985,216.7141427371469,1.3811148870927183,0.8681396594141607,0.8500929119596676,1.1518883962458546,"Elongated,Oval,Elongated,Ellipse",0.0058865422801756,0.0042621669892842,0.7226579589640673,0.9980736654013118,"[247, 174, 35]",orange,550.7296604290789
7,Faba-Seed-CC_Vf628-1-1,74.93448643368532,10.543957384153204,9.051982401765024,30.79954908893864,75.12919619162592,10.87099578345702,8.803220210108815,32.71121203650171,70.09312950824736,10.500323553668574,8.503053663308622,31.59584614489643,4582.1728641438895,1300.6581367150002,4479,1180,4688,1424,39586.0,0.5867202673999024,224.50492337115048,750.8670990922585,0.9932754554122548,39854.0,0.7762569613303004,249.5374692646669,202.07286769009792,1.2348885435097672,0.8823183956257434,0.8996842198997933,1.1333777069113429,"Elongated,Oval,Elongated,Ellipse",0.0063036798177301,0.0051046548701585,0.8094316955366996,0.9995579275719564,"[247, 171, 33]",orange,420.01440680015395
0,Faba-Seed-CC_Vf543-1-1,121.9172503394707,13.521227129187764,11.496655320418348,39.7326254301979,122.17903609499432,14.056666171267985,11.082978782599849,41.92549370038125,112.8347409677459,13.508446336189364,10.650734840377194,40.290370054278526,3030.389613719234,1421.2051760483137,2867,1280,3190,1569,70208.0,0.6150988208194998,298.9842837955974,1005.016377390926,0.9938282090481853,70644.0,0.7521184397998865,336.95917368560066,265.6754686394475,1.268311204685945,0.8734744133486446,0.8873012137504952,1.1448532260564948,"Elongated,Oval,Elongated,Ellipse",0.0047994412842639,0.0037841195966192,0.7873034439231019,0.9985457794155026,"[244, 251, 51]",yellow,670.0828174249598
1,Faba-Seed-CC_Vf543-1-1,151.85303370606903,16.151492046537566,11.985247634266338,45.07256641479957,152.1790988120865,16.791089277390668,11.553990402657844,47.560149343855805,140.54038846579417,16.136225024211132,11.103376677051124,45.70527017749292,3018.893318238476,2459.681532814161,2883,2261,3163,2660,87447.0,0.7256135047325319,333.6779562219473,1140.0874452027913,0.993998294970162,87975.0,0.7827336197636949,402.5073583774478,276.9663170068554,1.4532718733718262,0.8454315533090723,0.8289984003448793,1.18282786594129,"Elongated,Oval,Elongated,Ellipse",0.0046028721211413,0.0031672477844506,0.6872383477743689,0.9987441611230156,"[246, 235, 47]",gold,836.8573608929481
2,Faba-Seed-CC_Vf543-1-1,132.02897761736975,14.368188966061595,11.766087809053316,41.71399587694947,132.31247569135303,14.93716759965088,11.342716460355655,44.01621721245678,122.19317158327668,14.354607591591472,10.900342566611918,42.29955388368535,3599.282832002736,1928.248740645263,3466,1761,3738,2112,76031.0,0.6506684677155515,311.1361049858392,1055.134126397017,0.9935445932701732,76525.0,0.7963696162225574,358.06610118334095,271.9017666965578,1.316895088743364,0.858193512481368,0.8689348250437365,1.165238358780661,"Elongated,Oval,Elongated,Ellipse",0.004709475098096,0.0035761961133821,0.7550477301737889,0.9943186476326874,"[255, 255, 59]",yellow,719.6502101989564
3,Faba-Seed-CC_Vf543-1-1,119.53127862732346,14.577195754929107,10.462031839516053,40.03862552304032,119.78794112583807,15.154451033363582,10.085583473508986,42.248382128363936,110.6265177725305,14.563416819063242,9.692238647562965,40.60066560720957,3863.7642298863934,1199.8750762704478,3695,1052,4027,1347,68834.0,0.7463804157006156,296.0442041694115,1012.7564927611036,0.9941506954173226,69239.0,0.7028180518684909,363.27470793172176,241.76642113883128,1.502585455087313,0.843340193566315,0.8149320547387341,1.185761105220424,"Elongated,Oval,Elongated,Ellipse",0.0052775475481843,0.0035123110837497,0.6641142538406949,0.997888418337192,"[239, 247, 48]",yellow,675.1917653702848
4,Faba-Seed-CC_Vf543-1-1,160.51998044211473,16.435890947454006,12.447938085009218,45.941639428928426,160.86465557413806,17.08675034213443,12.000032169204282,48.477187037301,148.56167082920032,16.42035510015726,11.532022502005518,46.58654275800621,3996.105573465458,2771.7333347757417,3850,2567,4150,2971,92438.0,0.7118806791642598,343.06809387675355,1162.0702012600882,0.9950911791934892,92894.0,0.7626897689768977,409.5947933960513,287.65860088508845,1.4238920447216974,0.8601925460516796,0.8375792354006542,1.1625304178582372,"Elongated,Oval,Elongated,Ellipse",0.0044310218026791,0.003111908532044,0.7015389755743444,0.998915766382518,"[231, 208, 50]",gold,889.9582499159948
5,Faba-Seed-CC_Vf543-1-1,140.91298873770836,15.875202492602492,11.338709481190389,43.88982889258059,141.21556292730892,16.50385868883778,10.930716203947563,46.31213580334335,130.41534761436984,15.860196629974268,10.50441060903574,44.50593003997797,4418.916756010696,2022.3477392879588,4261,1842,4575,2204,81147.0,0.7492274738237884,321.4336157538975,1110.170706323477,0.993292123140951,81695.0,0.7138948516732941,395.6220143992405,262.02550839561786,1.509860688074356,0.8273757837477341,0.8124765661536821,1.2086406438805064,"Elongated,Oval,Elongated,Ellipse",0.0048753744981236,0.0032290227413905,0.6601181705488787,0.9966864751953152,"[242, 231, 45]",gold,773.8175952761889
0,Faba-Seed-CC_Vf640-3-1,173.38962836281587,16.726521517288088,13.239611699934146,47.62720938192256,173.72490453750578,17.478282250391423,12.695282769788392,50.38507323511887,159.25871742435035,16.734753297539907,12.15522338816562,48.24168407334836,2860.52170665974,2518.964130705372,2669,2365,3047,2676,92391.0,0.6873290996857334,342.98086648911834,1161.9453095790604,0.993537078458362,92992.0,0.7859184402592763,403.07191746197225,292.76972962408524,1.376754072149175,0.859940013581058,0.8509172969646956,1.1628718099018194,"Elongated,Oval,Elongated,Ellipse",0.0043626751248711,0.0031688122179009,0.7240602462737041,0.9968528925386564,"[255, 195, 36]",gold,950.3082288294477
1,Faba-Seed-CC_Vf640-3-1,217.3905941126679,18.87165852063882,14.697010786040236,53.56631682544188,217.81095308970632,19.71983079780284,14.092762841401068,56.6680859788078,199.67369170465165,18.880946007326877,13.493254431584822,54.257416439072045,2944.759075252294,1164.1267298013588,2758,956,3127,1371,115837.0,0.699482958686313,384.0419887766012,1306.8397538817887,0.9932858857828846,116620.0,0.7564371306363666,454.7649418762556,324.99743735933487,1.3992877776862058,0.852339255983116,0.8444845972341936,1.1732417496675869,"Elongated,Oval,Elongated,Ellipse",0.0039259040019704,0.0028056444603998,0.7131542349657981,0.997908004592798,"[255, 255, 59]",yellow,1181.131364192158
2,Faba-Seed-CC_Vf640-3-1,165.99170091310518,16.442418047241965,12.873511427750357,46.70726207648921,166.31267202907046,17.181409966895455,12.34423422072159,49.41185618213102,152.46370639419817,16.4505100089827,11.819108501134275,47.30986783114608,3013.488349218193,1751.667876403351,2816,1606,3209,1894,88449.0,0.6955635630770242,335.5842137113729,1139.5016587651644,0.9932509825940484,89050.0,0.7814620441051738,396.2256565516729,284.67409357887664,1.39185709373968,0.8559982321483381,0.8469522560248656,1.168226711742446,"Elongated,Oval,Elongated,Ellipse",0.004479707589138,0.0032185111598647,0.7173281239856094,0.998418237908347,"[255, 195, 36]",gold,910.1539128462134
3,Faba-Seed-CC_Vf640-3-1,156.34924752989525,15.854767074312855,12.585102719269123,45.21999880365979,156.6515734424797,16.567347469863055,12.06768305061009,47.838472608037854,143.6070938439897,15.862569829856776,11.554321862512603,45.8034162486823,3381.4217330244505,2679.110009482541,3235,2499,3533,2858,83311.0,0.6851503866526751,325.6913565193758,1103.2173875177025,0.9938326096292408,83828.0,0.7787384793703613,382.06457684289353,278.2964639688102,1.3728689592179404,0.8601813365992739,0.852451067855216,1.1625455673724556,"Elongated,Oval,Elongated,Ellipse",0.0045860039711789,0.0033404528089785,0.7266728230874978,0.9976265623240956,"[255, 240, 49]",yellow,859.4915022139623
4,Faba-Seed-CC_Vf640-3-1,164.90134174306917,17.01460704909429,12.376818258853358,47.20907813150156,165.22020447772573,17.779315566371594,11.867961927252365,49.94273000426919,151.46220933470593,17.02298060758668,11.363096908033786,47.81815819505786,3690.693335457732,2055.576546638139,3480,1923,3892,2199,87868.0,0.744596244494988,334.48021214533645,1151.7442994522837,0.9934761716320878,88445.0,0.772724074855776,410.0141371923663,273.6906351467213,1.498093411097402,0.8323930828604096,0.8157772666955833,1.2013554900812382,"Elongated,Oval,Elongated,Ellipse",0.0046662509354072,0.0031147930435052,0.6654925488573169,0.9969700025775624,"[255, 228, 49]",gold,901.3842323580116
5,Faba-Seed-CC_Vf640-3-1,135.1670032059773,14.846649071254106,11.617345370063775,42.15696101577834,135.42836991058994,15.51392037320401,11.139713750667264,44.59806895501758,124.1511604352308,14.85395569220958,10.66582852662508,42.70085989097576,3712.719996112407,1005.3113684327446,3570,841,3859,1169,72024.0,0.6959952966117595,302.82636108833947,1028.4894654563448,0.9937771645394964,72475.0,0.7598109545109292,357.7711781167544,256.8962851803356,1.3926677758909858,0.855632763012509,0.8464246971552182,1.1687257001230331,"Elongated,Oval,Elongated,Ellipse",0.0049673883443956,0.0035668150224971,0.7164347679543028,0.9977556148578934,"[255, 224, 45]",gold,746.9737008766298
6,Faba-Seed-CC_Vf640-3-1,179.188612588997,17.43530492213446,13.100234431603832,48.75018926552733,179.53510201367652,18.218921383967047,12.561635811460844,51.57307951159971,164.5850959335259,17.44388552262537,12.027261793053604,49.37915237074873,3785.896230663692,1520.2681056964211,3587,1365,3986,1681,95481.0,0.7243019055057294,348.6691626325134,1189.3422791987305,0.994148454338161,96043.0,0.757280860378795,420.1520190097668,289.68765697047314,1.4503621707727488,0.8482289828138211,0.8298643035305948,1.1789269410280117,"Elongated,Oval,Elongated,Ellipse",0.0044003730481432,0.0030339822265212,0.6886747622743193,0.9988278231685884,"[255, 234, 53]",gold,982.5042170252545
7,Faba-Seed-CC_Vf640-3-1,160.5042478783629,16.062524965620465,12.73553023311129,45.7756627198685,160.81460813899818,16.78444288090039,12.211925938382398,48.42631236341339,147.42346990202037,16.07042996700821,11.692428634517634,46.366249205821184,4027.142461268635,2572.1150774627304,3889,2381,4173,2764,85525.0,0.6860291011916912,329.990624205408,1116.773736703807,0.9924341761722966,86177.0,0.7862777185305042,387.0710793324076,281.62289253437103,1.3744304514774734,0.861732679051328,0.8525323689244676,1.1604526836569422,"Elongated,Oval,Elongated,Ellipse",0.0045258237864064,0.0032928721722814,0.7268114400639645,0.9989517757061076,"[255, 230, 49]",gold,883.0921294031349
8,Faba-Seed-CC_Vf640-3-1,163.56138228109722,16.763732566220654,12.46435803576705,46.67842472105661,163.87765399294062,17.517165721494738,11.951902623302312,49.381348993399314,150.2314539121974,16.771982659495738,11.443466753302088,47.28065842315548,4517.95210776327,1947.627383711591,4342,1769,4689,2117,87154.0,0.7310754741187895,333.1184763441505,1138.7981233214462,0.990352601615854,88003.0,0.7217363940508132,403.9686208697021,275.6264167541609,1.4656382564012842,0.8445078729373595,0.824614732765583,1.184121583759556,"Elongated,Oval,Elongated,Ellipse",0.0046351127988354,0.0031625217058787,0.6799894574940538,0.9966185628528405,"[255, 255, 49]",yellow,899.4088105150081
9,Faba-Seed-CC_Vf640-3-1,170.39630155350878,17.8849013850633,12.165596606567227,47.96336223114122,170.7257896590293,18.688724616499645,11.665424370740212,50.74069108772613,156.50934081524514,17.893703249687405,11.169175331922297,48.58217388500878,4498.001431781136,1164.343902815102,4367,955,4634,1375,90796.0,0.7812679049368829,340.007437718315,1170.146319705837,0.9921108415830766,91518.0,0.8096664883181737,430.986292484353,269.0198557136001,1.602061272916536,0.8332901306353824,0.7889054562696073,1.200062215110482,"Elongated,Oval,Elongated,Ellipse",0.0047467541795272,0.0029629042657562,0.6223718189319574,0.9970777884655112,"[255, 190, 34]",goldenrod,948.6868468789903
