class,seed_count
Faba-Seed-CC_Vf605-1-1,10
Faba-Seed-CC_Vf218-1-1,3
Faba-Seed-CC_Vf632-3-1,10
Faba-Seed-CC_Vf84-1-2,6
Faba-Seed-CC_Vf598-1-2,5
Faba-Seed-CC_Vf273-3-1,10
Faba-Seed-CC_Vf118-1-2,10
Faba-Seed-CC_Vf228-1-1,5
Faba-Seed-CC_Vf232-1-1,6
Faba-Seed-CC_Vf259-1-1,10
Faba-Seed-CC_Vf473-1-1,10
Faba-Seed-CC_Vf122-1-2,10
Faba-Seed-CC_Vf172-1-2,1
Faba-Seed-CC_Vf419-1-1,9
Faba-Seed-CC_Vf624-1-2,2
Faba-Seed-CC_Vf161-1-1,10
Faba-Seed-CC_Vf125-1-3,10
Faba-Seed-CC_Vf343-3-1,4
Faba-Seed-CC_Vf274-3-1,10
Faba-Seed-CC_Vf246-1-1,10
Faba-Seed-CC_Vf24-1-1,2
Faba-Seed-CC_Vf110-1-4,9
Faba-Seed-CC_Vf432-1-2,10
Faba-Seed-CC_Vf642-1-1,10
Faba-Seed-CC_Vf637-1-1,10
Faba-Seed-CC_Vf557-1-1,10
Faba-Seed-CC_Vf386-3-1,10
Faba-Seed-CC_Vf235-1-1,10
Faba-Seed-CC_Vf224-3-2,10
Faba-Seed-CC_Vf608-1-1,5
Faba-Seed-CC_Vf181-1-1,6
Faba-Seed-CC_Vf336-3-1,5
Faba-Seed-CC_Vf604-1-1,10
Faba-Seed-CC_Vf88-1-1,10
Faba-Seed-CC_Vf488-3-1,7
Faba-Seed-CC_Vf164-1-1,9
Faba-Seed-CC_Vf390-1-1,10
Faba-Seed-CC_Vf393-1-1,5
Faba-Seed-CC_Vf100-1-2,10
Faba-Seed-CC_Vf170-1-1,5
Faba-Seed-CC_Vf68-1-1,4
Faba-Seed-CC_Vf327-3-1,10
Faba-Seed-CC_Vf214-1-1,10
Faba-Seed-CC_Vf107-1-3,3
Faba-Seed-CC_Vf618-1-1,10
Faba-Seed-CC_Vf175-1-2,6
Faba-Seed-CC_Vf154-1-1,10
Faba-Seed-CC_Vf561-2-1,10
Faba-Seed-CC_Vf187-1-1,7
Faba-Seed-CC_Vf530-3-1,4
Faba-Seed-CC_Vf580-3-2,9
Faba-Seed-CC_Vf427-1-1,3
Faba-Seed-CC_Vf518-1-1,3
Faba-Seed-CC_Vf358-3-1,10
Faba-Seed-CC_Vf112-1-2,4
Faba-Seed-CC_Vf525-1-1,10
Faba-Seed-CC_Vf464-1-1,10
Faba-Seed-CC_Vf612-1-1,4
Faba-Seed-CC_Vf533-1-1,10
Faba-Seed-CC_Vf94-1-2,6
Faba-Seed-CC_Vf388-1-1,10
Faba-Seed-CC_Vf497-1-1,10
Faba-Seed-CC_Vf250-1-2,8
Faba-Seed-CC_Vf62-1-1,1
Faba-Seed-CC_Vf215-1-2,6
Faba-Seed-CC_Vf71-1-1,5
Faba-Seed-CC_Vf237-3-1,10
Faba-Seed-CC_Vf491-1-1,10
Faba-Seed-CC_Vf584-3-1,10
Faba-Seed-CC_Vf571-1-1,10
Faba-Seed-CC_Vf268-1-1,2
Faba-Seed-CC_Vf369-3-1,10
Faba-Seed-CC_Vf639-1-1,10
Faba-Seed-CC_Vf562-1-1,3
Faba-Seed-CC_Vf558-3-2,3
Faba-Seed-CC_Vf522-1-1,10
Faba-Seed-CC_Vf249-1-1,7
Faba-Seed-CC_Vf291-3-1,7
Faba-Seed-CC_Vf5-3-1,10
Faba-Seed-CC_Vf103-1-2,10
Faba-Seed-CC_Vf480-3-1,9
Faba-Seed-CC_Vf264-1-1,4
Faba-Seed-CC_Vf52-1-2,9
Faba-Seed-CC_Vf101-1-3,10
Faba-Seed-CC_Vf614-1-1,6
Faba-Seed-CC_Vf515-1-1,10
Faba-Seed-CC_Vf166-1-1,3
Faba-Seed-CC_Vf158-1-1,6
Faba-Seed-CC_Vf589-3-1,10
Faba-Seed-CC_Vf87-1-2,7
Faba-Seed-CC_Vf417-1-1,3
Faba-Seed-CC_Vf1-1-2,4
Faba-Seed-CC_Vf540-1-1,10
Faba-Seed-CC_Vf481-3-1,1
Faba-Seed-CC_Vf430-1-1,8
Faba-Seed-CC_Vf110-1-3,2
Faba-Seed-CC_Vf200-1-2,10
Faba-Seed-CC_Vf541-1-1,7
Faba-Seed-CC_Vf621-1-1,10
Faba-Seed-CC_Vf381-1-1,10
Faba-Seed-CC_Vf341-3-1,7
Faba-Seed-CC_Vf376-3-1,3
Faba-Seed-CC_Vf59-1-2,10
Faba-Seed-CC_Vf346-1-1,7
Faba-Seed-CC_Vf138-1-1,10
Faba-Seed-CC_Vf534-3-2,5
Faba-Seed-CC_Vf147-1-1,10
Faba-Seed-CC_Vf361-1-1,5
Faba-Seed-CC_Vf424-1-1,10
Faba-Seed-CC_Vf127-1-2,11
Faba-Seed-CC_Vf620-1-1,9
Faba-Seed-CC_Vf144-1-1,1
Faba-Seed-CC_Vf98-1-2,3
Faba-Seed-CC_Vf512-3-2,10
Faba-Seed-CC_Vf46-1-1,3
Faba-Seed-CC_Vf86-1-1,6
Faba-Seed-CC_Vf182-1-2,8
Faba-Seed-CC_Vf239-1-1,3
Faba-Seed-CC_Vf587-3-1,8
Faba-Seed-CC_Vf421-1-1,10
Faba-Seed-CC_Vf546-1-1,10
Faba-Seed-CC_Vf44-1-2,10
Faba-Seed-CC_Vf279-3-1,8
Faba-Seed-CC_Vf331-3-1,10
Faba-Seed-CC_Vf328-3-1,3
Faba-Seed-CC_Vf334-3-1,9
Faba-Seed-CC_Vf6-1-2,10
Faba-Seed-CC_Vf120-1-2,10
Faba-Seed-CC_Vf503-1-1,5
Faba-Seed-CC_Vf176-1-1,8
Faba-Seed-CC_Vf634-1-1,10
Faba-Seed-CC_Vf251-1-1,7
Faba-Seed-CC_Vf351-3-1,10
Faba-Seed-CC_Vf428-1-1,6
Faba-Seed-CC_Vf85-1-1,10
Faba-Seed-CC_Vf445-1-1,10
Faba-Seed-CC_Vf217-1-1,9
Faba-Seed-CC_Vf502-1-1,10
Faba-Seed-CC_Vf611-1-1,10
Faba-Seed-CC_Vf106-1-2,4
Faba-Seed-CC_Vf57-1-1,10
Faba-Seed-CC_Vf162-1-1,8
Faba-Seed-CC_Vf195-1-1,10
Faba-Seed-CC_Vf43-1-1,10
Faba-Seed-CC_Vf504-3-1,7
Faba-Seed-CC_Vf602-1-1,10
Faba-Seed-CC_Vf401-1-2,10
Faba-Seed-CC_Vf236-3-1,10
Faba-Seed-CC_Vf72-1-1,3
Faba-Seed-CC_Vf448-1-1,10
Faba-Seed-CC_Vf378-1-1,10
Faba-Seed-CC_Vf244-1-1,3
Faba-Seed-CC_Vf507-1-1,4
Faba-Seed-CC_Vf466-3-1,10
Faba-Seed-CC_Vf230-1-1,6
Faba-Seed-CC_Vf508-1-1,10
Faba-Seed-CC_Vf50-1-1,10
Faba-Seed-CC_Vf34-1-1,2
Faba-Seed-CC_Vf406-1-1,6
Faba-Seed-CC_Vf243-1-1,7
Faba-Seed-CC_Vf498-1-1,10
Faba-Seed-CC_Vf453-1-1,6
Faba-Seed-CC_Vf616-1-1,10
Faba-Seed-CC_Vf398-1-1,3
Faba-Seed-CC_Vf159-1-1,8
Faba-Seed-CC_Vf35-1-2,10
Faba-Seed-CC_Vf278-1-1,7
Faba-Seed-CC_Vf335-3-1,10
Faba-Seed-CC_Vf349-3-1,10
Faba-Seed-CC_Vf45-1-2,10
Faba-Seed-CC_Vf134-1-1,5
Faba-Seed-CC_Vf296-3-1,5
Faba-Seed-CC_Vf638-1-1,10
Faba-Seed-CC_Vf318-1-1,10
Faba-Seed-CC_Vf285-3-1,10
Faba-Seed-CC_Vf332-1-1,2
Faba-Seed-CC_Vf375-1-1,2
Faba-Seed-CC_Vf4-1-1,6
Faba-Seed-CC_Vf173-1-2,7
Faba-Seed-CC_Vf25-1-1,6
Faba-Seed-CC_Vf413-3-1,8
Faba-Seed-CC_Vf312-3-1,3
Faba-Seed-CC_Vf111-1-1,7
Faba-Seed-CC_Vf461-1-1,5
Faba-Seed-CC_Vf338-3-1,8
Faba-Seed-CC_Vf486-1-1,10
Faba-Seed-CC_Vf363-3-1,10
Faba-Seed-CC_Vf231-1-2,2
Faba-Seed-CC_Vf354-3-1,10
Faba-Seed-CC_Vf89-1-1,4
Faba-Seed-CC_Vf485-3-1,10
Faba-Seed-CC_Vf207-1-2,4
Faba-Seed-CC_Vf532-1-1,10
Faba-Seed-CC_Vf370-3-1,7
Faba-Seed-CC_Vf628-1-1,8
Faba-Seed-CC_Vf186-1-1,6
Faba-Seed-CC_Vf429-1-1,10
Faba-Seed-CC_Vf456-1-1,10
Faba-Seed-CC_Vf539-1-1,3
Faba-Seed-CC_Vf234-1-1,5
Faba-Seed-CC_Vf174-1-1,2
Faba-Seed-CC_Vf460-1-1,10
Faba-Seed-CC_Vf95-1-2,6
Faba-Seed-CC_Vf108-1-1,6
Faba-Seed-CC_Vf493-1-1,10
Faba-Seed-CC_Vf566-2-1,6
Faba-Seed-CC_Vf475-1-1,10
Faba-Seed-CC_Vf519-1-1,10
Faba-Seed-CC_Vf256-1-1,5
Faba-Seed-CC_Vf368-1-1,10
Faba-Seed-CC_Vf114-1-2,6
Faba-Seed-CC_Vf591-3-1,10
Faba-Seed-CC_Vf304-3-1,9
Faba-Seed-CC_Vf48-1-1,11
Faba-Seed-CC_Vf67-1-1,7
Faba-Seed-CC_Vf352-1-1,5
Faba-Seed-CC_Vf499-1-1,10
Faba-Seed-CC_Vf75-1-1,9
Faba-Seed-CC_Vf269-1-1,8
Faba-Seed-CC_Vf636-1-1,10
Faba-Seed-CC_Vf283-3-1,7
Faba-Seed-CC_Vf554-1-1,7
Faba-Seed-CC_Vf570-1-1,10
Faba-Seed-CC_Vf135-1-2,4
Faba-Seed-CC_Vf420-1-1,3
Faba-Seed-CC_Vf549-1-1,6
Faba-Seed-CC_Vf345-3-1,2
Faba-Seed-CC_Vf640-3-1,10
Faba-Seed-CC_Vf617-1-1,3
Faba-Seed-CC_Vf322-3-1,6
Faba-Seed-CC_Vf543-1-1,6
Faba-Seed-CC_Vf609-3-1,10
Faba-Seed-CC_Vf44-1-1,2
Faba-Seed-CC_Vf615-1-1,10
Faba-Seed-CC_Vf148-1-1,6
Faba-Seed-CC_Vf2-1-1,5
Faba-Seed-CC_Vf528-1-1,10
Faba-Seed-CC_Vf314-3-1,10
Faba-Seed-CC_Vf13-1-1,10
Faba-Seed-CC_Vf54-1-1,9
Faba-Seed-CC_Vf15-1-1,5
Faba-Seed-CC_Vf438-1-1,3
Faba-Seed-CC_Vf523-1-1,8
Faba-Seed-CC_Vf292-3-1,10
Faba-Seed-CC_Vf102-1-3,10
Faba-Seed-CC_Vf483-1-1,6
Faba-Seed-CC_Vf213-1-1,8
Faba-Seed-CC_Vf83-1-1,10
Faba-Seed-CC_Vf300-3-1,9
Faba-Seed-CC_Vf113-1-2,10
Faba-Seed-CC_Vf55-1-1,10
Faba-Seed-CC_Vf433-1-1,6
Faba-Seed-CC_Vf263-1-1,9
Faba-Seed-CC_Vf418-3-1,10
Faba-Seed-CC_Vf99-4-1,10
Faba-Seed-CC_Vf437-1-1,8
Faba-Seed-CC_Vf80-1-1,4
Faba-Seed-CC_Vf119-1-2,10
Faba-Seed-CC_Vf93-1-2,10
Faba-Seed-CC_Vf76-1-2,3
